Country,Doc Code,Doc Title,Top Group,Asset Element,Variant / Type,Asset Name,Permitted Materials (England),NH References,Uniclass_Co_Code,Uniclass_Co_Desc,Uniclass_En_Code,Uniclass_En_Desc,Uniclass_SL_Code,Uniclass_SL_Desc,Uniclass_EF_Code,Uniclass_EF_Desc,Uniclass_Ss_Code,Uniclass_Ss_Desc,Uniclass_Pr_Code,Uniclass_Pr_Desc
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Soil systems,soil ameliorants,Soil systems - soil ameliorants,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Ecology features,badger tunnels,Ecology features - badger tunnels,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Ecology features,bat boxes,Ecology features - bat boxes,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Ecology features,reptile fencing,Ecology features - reptile fencing,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Erosion control,geotextiles,Erosion control - geotextiles,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Erosion control,mats,Erosion control - mats,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 127,Fencing,Fencing,Boundary fencing,post & wire,Boundary fencing - post & wire,"Fencing: post & wire, chain link, acoustic; BS 1722",CD 622; BS 1722,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 127,Fencing,Fencing,Boundary fencing,chain link,Boundary fencing - chain link,"Fencing: post & wire, chain link, acoustic; BS 1722",CD 622; BS 1722,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 127,Fencing,Fencing,Boundary fencing,paladin,Boundary fencing - paladin,"Fencing: post & wire, chain link, acoustic; BS 1722",CD 622; BS 1722,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 127,Fencing,Fencing,Acoustic barriers,timber,Acoustic barriers - timber,"Fencing: post & wire, chain link, acoustic; BS 1722",CD 622; BS 1722,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_25_10,External walls and barriers,Ss_25_16_94,Vehicle restraint systems,Pr_25_10_77_06,Barrier rails and posts
England,LC/LP 127,Fencing,Fencing,Acoustic barriers,metal,Acoustic barriers - metal,"Fencing: post & wire, chain link, acoustic; BS 1722",CD 622; BS 1722,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_25_10,External walls and barriers,Ss_25_16_94,Vehicle restraint systems,Pr_25_10_77_06,Barrier rails and posts
England,LC/LP 127,Fencing,Fencing,Acoustic barriers,absorbent,Acoustic barriers - absorbent,"Fencing: post & wire, chain link, acoustic; BS 1722",CD 622; BS 1722,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_25_10,External walls and barriers,Ss_25_16_94,Vehicle restraint systems,Pr_25_10_77_06,Barrier rails and posts
England,LC/LP 127,Fencing,Fencing,Gates,pedestrian,Gates - pedestrian,"Fencing: post & wire, chain link, acoustic; BS 1722",CD 622; BS 1722,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 127,Fencing,Fencing,Gates,vehicular,Gates - vehicular,"Fencing: post & wire, chain link, acoustic; BS 1722",CD 622; BS 1722,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 127,Fencing,Fencing,Gates,maintenance,Gates - maintenance,"Fencing: post & wire, chain link, acoustic; BS 1722",CD 622; BS 1722,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Posts & foundations,post,Posts & foundations - post,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Posts & foundations,mast arm,Posts & foundations - mast arm,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Posts & foundations,cantilever,Posts & foundations - cantilever,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Sign faces,class RA2,Sign faces - class RA2,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_40_10,Signage functions,Ss_40_10_90_72,Road traffic signage systems,Pr_70_75_72_30,Fixed vertical road traffic signs
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Sign faces,microprismatic,Sign faces - microprismatic,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_40_10,Signage functions,Ss_40_10_90_72,Road traffic signage systems,Pr_70_75_72_30,Fixed vertical road traffic signs
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Sign faces,illumination,Sign faces - illumination,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_40_10,Signage functions,Ss_40_10_90_72,Road traffic signage systems,Pr_70_75_72_30,Fixed vertical road traffic signs
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Markings,thermoplastic,Markings - thermoplastic,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Markings,paint,Markings - paint,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Markings,raised rib,Markings - raised rib,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Markings,studs,Markings - studs,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Temporary signs,TSRGD compliant,Temporary signs - TSRGD compliant,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_40_10,Signage functions,Ss_40_10_90_72,Road traffic signage systems,Pr_70_75_72_30,Fixed vertical road traffic signs
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Temporary signs,works information,Temporary signs - works information,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_40_10,Signage functions,Ss_40_10_90_72,Road traffic signage systems,Pr_70_75_72_30,Fixed vertical road traffic signs
England,CC/CP 120,Permanent traffic signs and road markings,Traffic Signs & Markings,Temporary signs,diversion,Temporary signs - diversion,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_40_10,Signage functions,Ss_40_10_90_72,Road traffic signage systems,Pr_70_75_72_30,Fixed vertical road traffic signs
England,CC/CP 130,Temporary traffic signs and road markings,Temporary Traffic Management,Governance requirement,spec/procedure,Governance requirement - spec/procedure,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Foundations,capping,Foundations - capping,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Foundations,Type 1 sub-base,Foundations - Type 1 sub-base,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Foundations,CBGM,Foundations - CBGM,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Foundations,HMB/HBM,Foundations - HMB/HBM,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Flexible layers,base AC 32,Flexible layers - base AC 32,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Flexible layers,binder AC 20,Flexible layers - binder AC 20,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Flexible layers,surface SMA 10,Flexible layers - surface SMA 10,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Flexible layers,HRA,Flexible layers - HRA,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Flexible layers,PA,Flexible layers - PA,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Rigid layers,PQC jointed,Rigid layers - PQC jointed,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_65_95_30,Bridge expansion joint systems,,
England,CC/CP 201,Pavement foundation construction,Pavements,Rigid layers,CRCP,Rigid layers - CRCP,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Rigid layers,lean mix base,Rigid layers - lean mix base,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Joints & seals,saw-cut & seal,Joints & seals - saw-cut & seal,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_65_95_30,Bridge expansion joint systems,,
England,CC/CP 201,Pavement foundation construction,Pavements,Joints & seals,overbanding,Joints & seals - overbanding,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_65_95_30,Bridge expansion joint systems,,
England,CC/CP 201,Pavement foundation construction,Pavements,Joints & seals,longitudinal tie,Joints & seals - longitudinal tie,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_65_95_30,Bridge expansion joint systems,,
England,CC/CP 201,Pavement foundation construction,Pavements,Joints & seals,transverse contraction,Joints & seals - transverse contraction,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_65_95_30,Bridge expansion joint systems,,
England,CC/CP 201,Pavement foundation construction,Pavements,Rehabilitation,plane & inlay,Rehabilitation - plane & inlay,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Rehabilitation,patch repair,Rehabilitation - patch repair,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Rehabilitation,crack & seat,Rehabilitation - crack & seat,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Rehabilitation,slab stabilization,Rehabilitation - slab stabilization,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Surface treatments,micro-surfacing,Surface treatments - micro-surfacing,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Surface treatments,slurry seal,Surface treatments - slurry seal,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Surface treatments,surface dressing,Surface treatments - surface dressing,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Surface treatments,HFS,Surface treatments - HFS,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Ancillaries,road studs,Ancillaries - road studs,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Ancillaries,thermocouples,Ancillaries - thermocouples,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 201,Pavement foundation construction,Pavements,Ancillaries,embedded sensors,Ancillaries - embedded sensors,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,CC/CP 202,Flexible pavement construction,Pavements,Foundations,capping,Foundations - capping,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Foundations,Type 1 sub-base,Foundations - Type 1 sub-base,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Foundations,CBGM,Foundations - CBGM,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Foundations,HMB/HBM,Foundations - HMB/HBM,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Flexible layers,base AC 32,Flexible layers - base AC 32,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Flexible layers,binder AC 20,Flexible layers - binder AC 20,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Flexible layers,surface SMA 10,Flexible layers - surface SMA 10,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Flexible layers,HRA,Flexible layers - HRA,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Flexible layers,PA,Flexible layers - PA,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Rigid layers,PQC jointed,Rigid layers - PQC jointed,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Rigid layers,CRCP,Rigid layers - CRCP,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Rigid layers,lean mix base,Rigid layers - lean mix base,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Joints & seals,saw-cut & seal,Joints & seals - saw-cut & seal,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Joints & seals,overbanding,Joints & seals - overbanding,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Joints & seals,longitudinal tie,Joints & seals - longitudinal tie,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Joints & seals,transverse contraction,Joints & seals - transverse contraction,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,Ss_30_14_05_06,Asphalt concrete paving systems,,
England,CC/CP 202,Flexible pavement construction,Pavements,Rehabilitation,plane & inlay,Rehabilitation - plane & inlay,"Asphalt mixes: AC 32 base, AC 20 binder, SMA 10, HRA, PA; BS EN 13108 with PD 6691; NH Appendix 7/1",CD 534; SHW Appendix 7/1,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,Ss_30_14_05_06,Asphalt concrete paving systems,,
